model,dataset,N,strategy,regret_kind,n_problems,regret_mean,regret_median,regret_std,regret_p25,regret_p75,regret_p90,regret_p95,regret_p99,regret_max,regret_gt_10pp,regret_gt_20pp
Qwen2.5-3B,aime2025,512,random_T,R1,26,0.018696920687104397,0.0,0.060197054739821294,0.0,0.0,0.020468333270400763,0.1642166239907965,0.22845831513404846,0.23559999465942383,0.07692307692307693,0.07692307692307693
Qwen2.5-3B,aime2025,512,random_T,R2,26,0.018363460151214477,0.0,0.060262064702624574,0.0,0.0,0.017883333144709468,0.1642166239907965,0.22830833494663239,0.2354000210762024,0.07692307692307693,0.07692307692307693
Qwen2.5-3B,aime2025,1024,T0.1,R1,26,0.0007512820884585381,0.0,0.003612881229334315,0.0,0.0,0.0,0.0008249999955296516,0.014100000727921724,0.018433334305882454,0.0,0.0
Qwen2.5-3B,aime2025,1024,T0.1,R2,26,0.0007089743963800943,0.0,0.0036150742817797673,0.0,0.0,0.0,0.0,0.01382500072941184,0.018433334305882454,0.0,0.0
Qwen2.5-3B,aime2025,1024,T0.2,R1,26,0.0007512820884585381,0.0,0.003612881229334315,0.0,0.0,0.0,0.0008249999955296516,0.014100000727921724,0.018433334305882454,0.0,0.0
Qwen2.5-3B,aime2025,1024,T0.2,R2,26,0.0007089743963800943,0.0,0.0036150742817797673,0.0,0.0,0.0,0.0,0.01382500072941184,0.018433334305882454,0.0,0.0
Qwen2.5-3B,aime2025,1024,T0.3,R1,26,0.0007512820884585381,0.0,0.003612881229334315,0.0,0.0,0.0,0.0008249999955296516,0.014100000727921724,0.018433334305882454,0.0,0.0
Qwen2.5-3B,aime2025,1024,T0.3,R2,26,0.0007089743963800943,0.0,0.0036150742817797673,0.0,0.0,0.0,0.0,0.01382500072941184,0.018433334305882454,0.0,0.0
Qwen2.5-3B,aime2025,1024,T0.4,R1,26,0.0006948718308614424,0.0,0.003325800903992585,0.0,0.0,0.0,0.0008249999955296516,0.013000000704778358,0.016966667608357966,0.0,0.0
Qwen2.5-3B,aime2025,1024,T0.4,R2,26,0.0006525641387829987,0.0,0.0033274372775253806,0.0,0.0,0.0,0.0,0.012725000706268474,0.016966667608357966,0.0,0.0
Qwen2.5-3B,aime2025,1024,T0.5,R1,26,0.0006666667043016507,0.0,0.0031822984536352024,0.0,0.0,0.0,0.0008249999955296516,0.012450000736862421,0.016233334317803383,0.0,0.0
Qwen2.5-3B,aime2025,1024,T0.5,R2,26,0.000624359012223207,0.0,0.0031836187868136486,0.0,0.0,0.0,0.0,0.012175000738352537,0.016233334317803383,0.0,0.0
Qwen2.5-3B,aime2025,1024,T0.6,R1,26,4.2307692078443673e-05,0.0,0.0002157277474830592,0.0,0.0,0.0,0.0,0.0008249999955296516,0.0010999999940395355,0.0,0.0
Qwen2.5-3B,aime2025,1024,T0.6,R2,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen2.5-3B,aime2025,1024,T0.7,R1,26,0.0006987179826515225,0.0,0.0033453715136891387,0.0,0.0,0.0,0.0008249999955296516,0.013075000664684922,0.01706666755490005,0.0,0.0
Qwen2.5-3B,aime2025,1024,T0.7,R2,26,0.0006564102905730789,0.0,0.0033470488805552386,0.0,0.0,0.0,0.0,0.012800000666175038,0.01706666755490005,0.0,0.0
Qwen2.5-3B,aime2025,1024,T0.8,R1,26,0.0007435897809605544,0.0,0.0035737286425252205,0.0,0.0,0.0,0.0008249999955296516,0.013950000731711043,0.01823333431093488,0.0,0.0
Qwen2.5-3B,aime2025,1024,T0.8,R2,26,0.0007012820888821108,0.0,0.003575851055742993,0.0,0.0,0.0,0.0,0.01367500073320116,0.01823333431093488,0.0,0.0
Qwen2.5-3B,aime2025,1024,T0.9,R1,26,0.0024858987531982935,0.0,0.007714239929913238,0.0,0.0,0.005800006911158562,0.016450004186481237,0.030558348167687654,0.034600019454956055,0.0,0.0
Qwen2.5-3B,aime2025,1024,T0.9,R2,26,0.00244359106111985,0.0,0.007725153412550912,0.0,0.0,0.005250006914138794,0.016450004186481237,0.030558348167687654,0.034600019454956055,0.0,0.0
Qwen2.5-3B,aime2025,1024,T1.0,R1,26,0.045030769892036915,0.0,0.17169459878342558,0.0,0.0,0.009216667152941227,0.24895833479240537,0.7013750113546848,0.826566681265831,0.07692307692307693,0.07692307692307693
Qwen2.5-3B,aime2025,1024,T1.0,R2,26,0.04498846219995847,0.0,0.1717062739028238,0.0,0.0,0.009216667152941227,0.24895833479240537,0.7013750113546848,0.826566681265831,0.07692307692307693,0.07692307692307693
Qwen2.5-3B,aime2025,1024,T1.1,R1,26,0.07757820516753082,0.0,0.27120983920814495,0.0,0.0,0.009766667149960995,0.7527333336183801,0.9993750000139698,1.0,0.07692307692307693,0.07692307692307693
Qwen2.5-3B,aime2025,1024,T1.1,R2,26,0.07753589747545238,0.0,0.27122233223646547,0.0,0.0,0.009216667152941227,0.7527333336183801,0.9993750000139698,1.0,0.07692307692307693,0.07692307692307693
Qwen2.5-3B,aime2025,1024,T1.2,R1,26,0.07767435901153547,0.0,0.2715492618711709,0.0,0.0,0.009766667149960995,0.7546083335764706,1.0,1.0,0.07692307692307693,0.07692307692307693
Qwen2.5-3B,aime2025,1024,T1.2,R2,26,0.07763205131945702,0.0,0.2715617548639643,0.0,0.0,0.009216667152941227,0.7546083335764706,1.0,1.0,0.07692307692307693,0.07692307692307693
Qwen2.5-3B,aime2025,1024,best_fixed_T,R1,26,4.2307692078443673e-05,0.0,0.0002157277474830592,0.0,0.0,0.0,0.0,0.0008249999955296516,0.0010999999940395355,0.0,0.0
Qwen2.5-3B,aime2025,1024,best_fixed_T,R2,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen2.5-3B,aime2025,1024,consensus_vote,R1,26,0.0006429487551252046,0.0,0.003061648885786698,0.0,0.0,0.0,0.0008249999955296516,0.011987500727921725,0.015616667639215787,0.0,0.0
