model,dataset,N,regret_kind,strategy_a,strategy_b,a_dominates_b,max_violation
Llama-3.2-3B,gsm8kfull,64,R1,best_fixed_T,equal_mix,False,0.0015174506828528056
Llama-3.2-3B,gsm8kfull,64,R1,best_fixed_T,consensus_vote,False,0.00531107738998482
Llama-3.2-3B,gsm8kfull,64,R1,best_fixed_T,random_T,False,0.006828528072837625
Llama-3.2-3B,gsm8kfull,64,R2,T1.0,equal_mix,False,0.007587253414264038
Llama-3.2-3B,gsm8kfull,64,R2,T1.0,consensus_vote,False,0.009104704097116844
Llama-3.2-3B,gsm8kfull,64,R2,T1.0,random_T,False,0.0015174506828528073
Llama-3.2-3B,gsm8kfull,64,R2,T1.0,best_fixed_T,False,0.08725341426403643
Llama-3.2-3B,gsm8kfull,64,R2,equal_mix,T1.0,False,0.04552352048558428
Llama-3.2-3B,gsm8kfull,64,R2,equal_mix,consensus_vote,False,0.006069802731411229
Llama-3.2-3B,gsm8kfull,64,R2,equal_mix,random_T,False,0.020485584218512876
Llama-3.2-3B,gsm8kfull,64,R2,equal_mix,best_fixed_T,False,0.11608497723823974
Llama-3.2-3B,gsm8kfull,64,R2,consensus_vote,T1.0,False,0.0515933232169955
Llama-3.2-3B,gsm8kfull,64,R2,consensus_vote,equal_mix,False,0.012898330804248848
Llama-3.2-3B,gsm8kfull,64,R2,consensus_vote,random_T,False,0.019726858877086473
Llama-3.2-3B,gsm8kfull,64,R2,consensus_vote,best_fixed_T,False,0.1350531107738998
Llama-3.2-3B,gsm8kfull,64,R2,random_T,T1.0,False,0.17754172989377848
Llama-3.2-3B,gsm8kfull,64,R2,random_T,equal_mix,False,0.13884673748103193
Llama-3.2-3B,gsm8kfull,64,R2,random_T,consensus_vote,False,0.1320182094081943
Llama-3.2-3B,gsm8kfull,64,R2,random_T,best_fixed_T,False,0.2647951441578149
Llama-3.2-3B,gsm8kfull,64,R2,best_fixed_T,T1.0,False,0.07056145675265554
Llama-3.2-3B,gsm8kfull,64,R2,best_fixed_T,equal_mix,False,0.05311077389984825
Llama-3.2-3B,gsm8kfull,64,R2,best_fixed_T,consensus_vote,False,0.05690440060698027
Llama-3.2-3B,gsm8kfull,64,R2,best_fixed_T,random_T,False,0.04324734446130501
Llama-3.2-3B,gsm8kfull,128,R1,T1.0,equal_mix,False,0.0007587253414264037
Llama-3.2-3B,gsm8kfull,128,R1,T1.0,consensus_vote,False,0.0030349013657056147
Llama-3.2-3B,gsm8kfull,128,R1,T1.0,random_T,False,0.009104704097116834
Llama-3.2-3B,gsm8kfull,128,R1,T1.0,best_fixed_T,False,0.013657056145675361
Llama-3.2-3B,gsm8kfull,128,R1,equal_mix,T1.0,False,0.03262518968133543
Llama-3.2-3B,gsm8kfull,128,R1,equal_mix,consensus_vote,False,0.009863429438543236
Llama-3.2-3B,gsm8kfull,128,R1,equal_mix,random_T,False,0.020485584218512876
Llama-3.2-3B,gsm8kfull,128,R1,equal_mix,best_fixed_T,False,0.039453717754172946
Llama-3.2-3B,gsm8kfull,128,R1,consensus_vote,T1.0,False,0.036418816388467334
Llama-3.2-3B,gsm8kfull,128,R1,consensus_vote,equal_mix,False,0.009104704097116834
Llama-3.2-3B,gsm8kfull,128,R1,consensus_vote,random_T,False,0.017450682852807264
Llama-3.2-3B,gsm8kfull,128,R1,consensus_vote,best_fixed_T,False,0.04248861911987856
Llama-3.2-3B,gsm8kfull,128,R1,random_T,T1.0,False,0.16767830045523524
Llama-3.2-3B,gsm8kfull,128,R1,random_T,equal_mix,False,0.14339908952959035
