model,dataset,stratum,level_n_problems,N,T,mean_acc,std_acc,source,dataset_family
Llama-3.2-3B,gsm8kfull,L3,48,8,0.9,0.736,0.037,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,8,1.0,0.743,0.02,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,8,1.1,0.674,0.048,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,8,1.2,0.399,0.071,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,16,0.1,0.729,0.056,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,16,0.2,0.833,0.05,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,16,0.3,0.826,0.016,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,16,0.4,0.812,0.034,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,16,0.5,0.83,0.033,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,16,0.6,0.844,0.033,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,16,0.7,0.819,0.023,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,16,0.8,0.809,0.028,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,16,0.9,0.819,0.044,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,16,1.0,0.799,0.039,markdown,gsm8kfull
