model,dataset,stratum,N,acc_t1p0_mean,acc_t1p0_std,acc_t0p1_mean,acc_t0p1_std,acc_random_t_mean
Qwen2.5-3B,aime,L5,8,0.0263937592330021,0.0050481634219471,0.0220326480561528,0.0034217953417747,0.0290680919435213
Qwen2.5-3B,aime,L5,16,0.0240235745497612,0.0044098001440292,0.0197272418264411,0.003852422039225,0.0316444168643404
Qwen2.5-3B,aime,L5,32,0.024971200822796,0.0042338034599629,0.0218113275470606,0.0018629716519373,0.0336654109633386
Qwen2.5-3B,aime,L5,64,0.0215621094395772,0.0047018180184911,0.0220404041564148,0.0047477107510059,0.0322578464507717
Qwen2.5-3B,aime,L5,128,0.0189823237290097,0.0041251831423679,0.0239898993549021,0.0034561498282185,0.0287184344265948
Qwen2.5-3B,aime,L5,256,0.0188888890584083,0.0036913861965342,0.0220959598198532,0.0023417179933799,0.0292487373392125
Qwen2.5-3B,aime,L5,512,0.0217929297155051,0.0046461857762385,0.0215782828516129,0.0011528423975401,0.0267045454009238
Qwen2.5-3B,aime,L5,1024,0.0241919191328413,0.0037078870511104,0.0201893939890644,0.0010797947060965,0.0280934345118249
Qwen2.5-3B,aime,L5,1536,0.0283585860873713,0.0040462966506585,0.019949494945732,0.0013344769971205,0.0268181819214739
Qwen2.5-3B,aime,L5,2048,0.0291666666666666,0.0027725740143811,0.0194318181750449,0.0022257212354032,0.026590909018661
Qwen2.5-3B,aime,Lr,1,0.0011904762082156,0.0019873733658994,0.0,0.0,0.0004960317534231
Qwen2.5-3B,aime,Lr,2,0.0010912698649224,0.001374052742953,0.0,0.0,0.0008432539808193
Qwen2.5-3B,aime,Lr,4,0.0010085979121781,0.0010933168913565,0.0,0.0,0.0009341931528603
Qwen2.5-3B,aime,Lr,8,0.0008267195995098,0.0008769062342969,0.0,0.0,0.0005370134317744
Qwen2.5-3B,aime,Lr,16,0.0003471864370762,0.00029471272574,0.0,0.0,0.0002058531787793
Qwen2.5-3B,aime,Lr,32,9.99579169151788e-05,0.0003775198606593,0.0,0.0,3.306878479344762e-05
Qwen2.5-3B,aime,Lr,64,4.960317534230477e-05,0.0001391985655702,0.0,0.0,3.306878479344762e-05
Qwen2.5-3B,aime,Lr,128,2.4801587671142857e-05,0.0001391985655702,0.0,0.0,0.0
Qwen2.5-3B,aime,Lr,256,0.0,0.0,0.0,0.0,0.0
Qwen2.5-3B,aime,Lr,512,0.0,0.0,0.0,0.0,0.0
Qwen2.5-3B,aime,Lr,1024,0.0,0.0,0.0,0.0,0.0
Qwen2.5-3B,aime,Lr,1536,0.0,0.0,0.0,0.0,0.0
Qwen2.5-3B,aime,Lr,2048,0.0,0.0,0.0,0.0,0.0
Qwen2.5-3B,aime,overall,1,0.0384523811617067,0.0173619735499748,0.0555952382052228,0.0167346998006509,0.0478174605717261
Qwen2.5-3B,aime,overall,2,0.0418849207401748,0.011158983433148,0.0596230161302382,0.0115847534861267,0.0519642857642518
Qwen2.5-3B,aime,overall,4,0.0499702384096702,0.0124977263794448,0.0679960323305474,0.0143434772363228,0.060304233640994
Qwen2.5-3B,aime,overall,8,0.0572945012093802,0.0113122170936396,0.0775240931730155,0.0128501104925059,0.0680332579694333
Qwen2.5-3B,aime,overall,16,0.0623237107721496,0.00993250852574,0.0810674443205315,0.0079021588976348,0.0757975117255386
Qwen2.5-3B,aime,overall,32,0.0661975013162378,0.0112585132409707,0.0844606953628715,0.0057288695155943,0.0801774572969103
Qwen2.5-3B,aime,overall,64,0.0651535652078953,0.0112068581780144,0.0857910053139286,0.004910056964311,0.0816714381555183
Qwen2.5-3B,aime,overall,128,0.0633406087002228,0.0055724521113911,0.0877050267029848,0.0056129230286561,0.0812599208235503
Qwen2.5-3B,aime,overall,256,0.0634126984987348,0.0124285982593003,0.0870899471883026,0.0045963412575487,0.0826223546306469
Qwen2.5-3B,aime,overall,512,0.0637830690303373,0.0095088938563054,0.0874933862556067,0.0008343660704312,0.0817394179676377
Qwen2.5-3B,aime,overall,1024,0.064212962961386,0.0086804837237587,0.0867261905400525,0.0012660176835705,0.0836970900037576
Qwen2.5-3B,aime,overall,1536,0.0656216932726757,0.0074506178408965,0.0866402116382405,0.0009658235423543,0.0821230159081991
Qwen2.5-3B,aime,overall,2048,0.0650793650704952,0.0053041260870818,0.0863690476154996,0.0016108587652756,0.0827579364890143
Qwen2.5-3B,aime,overall_md_compat,1,0.0632936511307008,0.022355396976712,0.092658730342038,0.0216044045439006,0.0793650797839281
Qwen2.5-3B,aime,overall_md_compat,2,0.069080687990343,0.0143624338051915,0.0993716935503971,0.0149558524405623,0.0860449736198735
Qwen2.5-3B,aime,overall_md_compat,4,0.0826113320746651,0.0161097810830098,0.1133267205509125,0.0185173494876611,0.0998842606330832
Qwen2.5-3B,aime,overall_md_compat,8,0.0949396889492938,0.0145864474630924,0.1292068219550259,0.0165894213114669,0.1130307543278725
Qwen2.5-3B,aime,overall_md_compat,16,0.1036413936621987,0.0128205553297308,0.1351124072008859,0.0102016432698748,0.1261919507567115
Qwen2.5-3B,aime,overall_md_compat,32,0.1102625302491196,0.0145314091940548,0.1407678256047859,0.0073959387421641,0.1336070496383216
Qwen2.5-3B,aime,overall_md_compat,64,0.1085562065629308,0.0144675452724288,0.1429850088565477,0.0063388562839021,0.1360970177360016
Qwen2.5-3B,aime,overall_md_compat,128,0.1055511467752573,0.0071931068898731,0.1461750445049748,0.0072462524711764,0.135433201372584
Qwen2.5-3B,aime,overall_md_compat,256,0.1056878308312247,0.0160452513583241,0.1451499119805043,0.0059338510479907,0.1377039243844115
Qwen2.5-3B,aime,overall_md_compat,512,0.1063051150505622,0.0122759291821082,0.1458223104260112,0.0010771619651403,0.1362323632793963
Qwen2.5-3B,aime,overall_md_compat,1024,0.1070216049356435,0.011206456299714,0.1445436509000876,0.0016344218014909,0.1394951500062628
Qwen2.5-3B,aime,overall_md_compat,1536,0.1093694887877929,0.0096187062722494,0.1444003527304009,0.0012468728316377,0.1368716931803319
Qwen2.5-3B,aime,overall_md_compat,2048,0.1084656084508255,0.0068475973338174,0.1439484126924995,0.0020796097236683,0.1379298941483573
Qwen2.5-3B,gsm8kfull,L1,1,0.9016904087936032,0.0013543362857298,0.987700557671658,0.0006625036619931,0.9322527863168216
Qwen2.5-3B,gsm8kfull,L1,2,0.9030451889076048,0.0007563293353414,0.9878335798009203,0.0002622551923816,0.9327603167590164
Qwen2.5-3B,gsm8kfull,L1,4,0.9648408521884368,0.0005908762621509,0.9974449496879716,0.0001716167196534,0.9753786030334628
Qwen2.5-3B,gsm8kfull,L1,8,0.9827112185876432,0.0005441484304201,0.99967665373108,0.0001258620161166,0.9880392963546082
Qwen2.5-3B,gsm8kfull,L1,16,0.9888794752891154,0.0001719050625482,0.999987721033321,1.5531800807377358e-05,0.992146570379428
Qwen2.5-3B,gsm8kfull,L1,32,0.9904305829639718,0.0001315118375395,1.0,0.0,0.9933434295752858
Qwen2.5-3B,gsm8kfull,L1,64,0.9908705796052584,0.0001753358622552,1.0,0.0,0.9938993943024478
Qwen2.5-3B,gsm8kfull,L1,128,0.9910711362113545,0.0001506699747601,1.0,0.0,0.99393623116711
Qwen2.5-3B,gsm8kfull,L1,256,0.9911939259996662,6.654103755846004e-05,1.0,0.0,0.9942084151718426
Qwen2.5-3B,gsm8kfull,L1,512,0.991335134257513,0.0001581400232771,1.0,0.0,0.994159299262434
Qwen2.5-3B,gsm8kfull,L1,1024,0.9913617387315176,8.60404823793313e-05,1.0,0.0,0.9941040438529136
